#BCondn Vector
#elefld	Assigned	BC	KnCh	ChUp	RHValue
1	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
2	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
3	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
4	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
5	0.000000e+00	-3.000000e+02	0.000000e+00	0.000000e+00	-3.000000e+02
6	0.000000e+00	-3.000000e+02	0.000000e+00	0.000000e+00	-3.000000e+02
7	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
8	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
9	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
10	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
11	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
12	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
13	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
14	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
15	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
16	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
17	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
18	0.000000e+00	5.200000e+02	0.000000e+00	0.000000e+00	5.200000e+02
19	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
20	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
23	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
24	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
25	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
26	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
27	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
28	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
29	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
30	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
31	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
32	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
33	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
34	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
35	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
36	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
37	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
38	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
