#Row	GivenPot	Error
1	520	5.00222e-12
2	520	9.32232e-12
3	520	5.34328e-12
4	520	1.23919e-11
5	-300	6.82121e-13
6	-300	6.82121e-13
7	520	6.25278e-12
8	520	7.95808e-13
9	520	7.95808e-12
10	520	6.25278e-12
11	520	8.41283e-12
12	520	6.59384e-12
13	520	1.47793e-12
14	520	7.95808e-12
15	520	5.00222e-12
16	520	9.09495e-12
17	520	1.03455e-11
18	520	9.77707e-12
19	0	6.52989e-12
20	0	2.13163e-14
21	0	5.13722e-12
22	0	6.58673e-12
23	0	8.3773e-12
24	0	7.22622e-12
25	0	6.71463e-12
26	0	5.6346e-12
27	0	3.67351e-12
28	0	4.15668e-12
29	0	4.0572e-12
30	0	3.43192e-12
31	0	5.7625e-12
32	0	5.35039e-12
33	0	8.94573e-12
34	0	6.35936e-12
35	0	3.71614e-12
36	0	7.69518e-12
37	0	6.84253e-12
38	0	7.63833e-12
39	0	3.00398e-27
#Error maximum on element 4 and its magnitude is 1.23919e-11.
